num_of_new_concepts,Sequential model accuracy on normal images,Joint model accuracy on normal images,CNN model accuracy on normal images,Sequential model accuracy on adversarial images,Joint model accuracy on adversarial images,CNN model accuracy on adversarial images,Sequential model accuracy on normal images after adversarial training,Joint model accuracy on normal images after adversarial training,CNN model accuracy on normal images after adversarial training,Sequential model accuracy on adversarial images after adversarial training,Joint model accuracy on adversarial images after adversarial training,CNN model accuracy on adversarial images after adversarial training
0,0.9846735668789808,0.9838773885350318,0.9867635350318472,0.1061902866242038,0.1273885350318471,0.1049960191082802,0.7749800955414012,0.9156050955414012,0.8205613057324841,0.6282842356687898,0.5059713375796179,0.7133757961783439
1,0.9844745222929936,0.9808917197452228,0.9845740445859872,0.1404259554140127,0.12390525477707,0.1062898089171974,0.9330214968152868,0.9405851910828026,0.8401671974522293,0.3614649681528662,0.4185907643312102,0.734375
2,0.9847730891719744,0.9833797770700636,0.9850716560509554,0.2150676751592356,0.1196257961783439,0.1103702229299363,0.8968949044585988,0.8980891719745223,0.8681329617834395,0.4742237261146497,0.5084593949044586,0.7829418789808917
3,0.9841759554140128,0.9831807324840764,0.9840764331210192,0.2384554140127388,0.1099721337579617,0.1112659235668789,0.8850517515923567,0.849422770700637,0.8644506369426752,0.5213972929936306,0.3648487261146497,0.6689888535031847
4,0.9837778662420382,0.9814888535031848,0.984375,0.181827229299363,0.2421377388535031,0.1038017515923566,0.9647691082802548,0.9388933121019108,0.8518113057324841,0.4380971337579618,0.4545183121019108,0.6657046178343949
5,0.9834792993630572,0.9801950636942676,0.984375,0.3088176751592357,0.1412221337579617,0.1290804140127388,0.9416799363057324,0.8803742038216561,0.9011743630573248,0.5471735668789809,0.533140923566879,0.6125597133757962
6,0.980593152866242,0.9812898089171974,0.98546974522293,0.1413216560509554,0.2880175159235669,0.1056926751592356,0.8715167197452229,0.7003383757961783,0.8875398089171974,0.3644506369426751,0.5499601910828026,0.615047770700637
7,0.9830812101910829,0.9792993630573248,0.9848726114649682,0.24422770700636942,0.1129578025477707,0.1044984076433121,0.8112062101910829,0.931827229299363,0.8664410828025477,0.4621815286624204,0.4666600318471338,0.7573646496815286
8,0.9828821656050956,0.9818869426751592,0.9839769108280255,0.10499601910828026,0.22870222929936307,0.12330812101910828,0.7972730891719745,0.6644108280254777,0.8800756369426752,0.46397292993630573,0.5961385350318471,0.7181528662420382
